HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
99212,1841599,92299154.0,40.35475056213882,85.3819543963421,0.0,80.19173333333332,80.19173333333332,2.1157844666855206,170.6974085177681
90999,250573,90103258.0,95.29758692837385,172.44432686996777,8.627341353462592,196.09158673621468,187.4642453827521,1.8095350829772616,173.73585163501494
84443,493781,88078797.0,10.95817349100091,15.131338459406212,0.0,19.908,19.908,1.3808266926812571,76.85082923112554
S5130,125420,87575527.0,114.88304571590972,239.8299857864912,17.4008773006135,222.75772716346177,205.35684986284826,2.087601214713252,203.57160923094608
80307,463577,85461430.0,35.858788355892386,31.089012565143108,1.9214917293233087,62.21706153846156,60.29556980913825,0.8669844685378083,65.24425456099083
81001,845275,85139705.0,5.18919776249696,29.121301053152116,0.0,4.8938552932216295,4.8938552932216295,5.611908118749247,181.80913872864653
93010,1606947,84069729.0,5.778628518425683,5.558196806516931,1.8850991792065668,9.885133001422474,8.000033822215908,0.9618539743113984,38.603868740616534
D0220,1658833,80066712.0,10.711514158358861,22.25573302910815,1.0909090909090908,15.444545454545453,14.353636363636362,2.0777392159576817,103.3261494732983
99509,82187,79677945.0,101.69772556415144,208.6506226116854,37.709601307189544,193.31691089838017,155.60730959119064,2.0516744249119667,188.73368859155238
H2017,292828,78677933.0,118.19983240124097,160.91578492739953,24.382370607028754,259.93738328248924,235.5550126754605,1.3613875896300347,135.39399744080904
D1206,1169896,77773830.0,18.454428011370197,20.329064008952443,0.3762773061686474,28.278108442246555,27.90183113607791,1.1015819074114483,67.38964152257469
T1017,283832,75144121.0,112.4330864254509,109.69653925550503,19.049171779141105,259.5390499239642,240.48987814482314,0.9756606595358357,97.1808319982209
H0004,556970,73272784.0,84.08968484022334,161.5471869333448,0.865552533822519,139.70431237322524,138.8387598394027,1.9211296515178582,171.97446153348866
G0463,812350,72375290.0,63.19255640079216,47.318481913163055,6.677092979127135,117.98120168067227,111.30410870154513,0.748798349176611,64.06390941684043
D1208,1170690,70737820.0,15.193731436391122,8.604751507647597,7.906976744186046,24.84705882352941,16.940082079343362,0.5663356328016966,29.60455588834608
H2019,481861,69547577.0,107.9576868464374,138.11395131986998,36.6318,165.7170588235294,129.08525882352941,1.2793341109311454,112.55090381993091
T2016,81288,69000080.0,1808.930583932255,2887.5492563059283,130.15296714975847,5925.466001231529,5795.313034081771,1.5962742196712552,249.81294120605162
U0003,170897,68714959.0,66.44694874653332,73.91000145917351,10.039904347826093,103.2077029050614,93.1677985572353,1.1123159581203426,91.3120683077259
90460,1188311,68551665.0,23.266759656787816,18.865873553077247,0.0,48.305454545454545,48.305454545454545,0.810850923436317,57.099605261197574
80048,628501,67440015.0,9.585323773766355,33.858871639021615,0.0,18.490076335877863,18.490076335877863,3.5323659834724053,189.16842958488533
90832,841396,65774815.0,45.0855781247317,51.35418776492721,0.0,93.08547,93.08547,1.1390380228208024,93.25922196632362
87491,354411,65707272.0,23.312394905673287,22.960709587958693,0.0,40.24727272727273,40.24727272727273,0.9849142347177291,66.0120933156708
87591,345388,65183176.0,21.890620985879558,19.836619326268377,0.0,37.931790849673206,37.931790849673206,0.9061697856385114,59.76971006319721
3008F,1087238,63110413.0,0.3348114049377534,2.133704803933415,0.0,0.0,0.0,6.372855800208191,0.0
71046,1380029,63003343.0,14.24488616425849,24.915155186896904,3.5135714285714283,29.29761846153846,25.78404703296703,1.7490596203858009,103.33178782027919
D1351,527999,61783307.0,28.91882470434637,27.710123331900025,10.648019189765458,41.853658536585364,31.205639346819908,0.9582036481494809,59.746154478039514
H2016,72289,60739036.0,1105.7262195938986,1982.2391843661874,76.5696633814577,3276.835504464286,3200.265841082828,1.7927034280639622,259.46754384051394
H2014,131724,60726091.0,152.85366718948512,414.92264127608746,2.813333333333333,222.2000555801268,219.38672224679345,2.7145089084564025,262.5773375472065
D1110,1598227,58293656.0,44.726403473378845,23.51924998751511,19.739524705882353,75.85217391304347,56.11264920716112,0.5258471095605478,38.10638710202945
S0215,77811,57790437.0,35.84781788283444,56.96921879063925,0.0,83.72638095238095,83.72638095238095,1.5891962790270338,126.17081918747502
99233,1032481,57616401.0,45.234907303579874,35.94572902819212,14.774750000000001,79.11263157894737,64.33788157894737,0.7946457983643836,59.423681843022834
90471,1332505,57130368.0,10.069247039123582,17.34636454781731,0.0,20.034861776061778,20.034861776061778,1.7227072173737354,93.78238241747538
H0036,279936,56498126.0,82.79049621051344,122.02343564752692,20.669758064516127,154.06327978376174,133.39352171924563,1.4738821632045171,129.018860523589
A0130,83584,56277367.0,41.2747846569768,46.178055759928135,7.5,74.67210317460317,67.17210317460317,1.1187958009642218,84.3717007910323
T2021,110852,55550230.0,348.3011217975084,502.19336996629386,54.85275641025641,986.4238848484848,931.5711284382284,1.4418367858667238,175.93908640760813
85027,456082,55481270.0,5.544739676644474,23.399686029431116,0.0,7.98,7.98,4.2201595375153795,165.2172963976009
3074F,1095138,53839139.0,0.20927374263320891,1.538709545519356,0.0,0.002142857142857143,0.002142857142857143,7.352616368199761,0.2802116331874994
87086,370631,53347414.0,7.506859234089237,20.560548258769682,0.0,12.035454545454543,12.035454545454543,2.738901532268331,125.17212614619724
81003,837730,52938086.0,2.6765367880070734,16.855372827727543,0.0,2.7523928571428544,2.7523928571428544,6.297456064587817,148.1289037994485
D0272,1061440,51038487.0,15.876057514831187,14.696568487486473,5.0,23.831798130841115,18.831798130841115,0.9257064276667648,49.13270837875987
93005,707016,50128688.0,20.943618867956932,44.422142809899086,0.0,58.10307692307692,58.10307692307692,2.1210347213615286,153.4785203704842
G0156,52701,49714941.0,67.81146644143134,272.60368690404937,0.0,70.68271028037384,70.68271028037384,4.020023474046189,304.43981501404596
3078F,1034600,49516779.0,0.1749482978385493,1.3678383025011893,0.0,0.0007407407407407407,0.0007407407407407407,7.81852878479273,0.10258795017708208
82306,266785,49355107.0,18.898345202486393,29.166448978533584,0.0,32.83652631578947,32.83652631578947,1.5433334858702998,96.33941210669329
S5126,1905,49138345.0,396.4438531233324,550.4513618101307,25.808392753492566,1292.344823529413,1266.5364307759203,1.38847243430178,175.81831364621843
